Polynomial order,Approach,Nb. of Threads,Time (ms)
5,Simple Sequential,-,1
5,Karatsuba Sequential,-,2
5,Simple Parallelized,1,3
5,Karatsuba Parallelized,1,5
5,Simple Parallelized,2,1
5,Karatsuba Parallelized,2,2
5,Simple Parallelized,3,0
5,Karatsuba Parallelized,3,2
5,Simple Parallelized,4,1
5,Karatsuba Parallelized,4,6
5,Simple Parallelized,5,0
5,Karatsuba Parallelized,5,2
5,Simple Parallelized,10,1
5,Karatsuba Parallelized,10,1
5,Simple Parallelized,15,1
5,Karatsuba Parallelized,15,2
5,Simple Parallelized,30,1
5,Karatsuba Parallelized,30,2
10,Simple Sequential,-,0
10,Karatsuba Sequential,-,0
10,Simple Parallelized,1,1
10,Karatsuba Parallelized,1,3
10,Simple Parallelized,2,0
10,Karatsuba Parallelized,2,3
10,Simple Parallelized,3,0
10,Karatsuba Parallelized,3,3
10,Simple Parallelized,4,1
10,Karatsuba Parallelized,4,4
10,Simple Parallelized,5,0
10,Karatsuba Parallelized,5,4
10,Simple Parallelized,10,1
10,Karatsuba Parallelized,10,3
10,Simple Parallelized,15,2
10,Karatsuba Parallelized,15,3
10,Simple Parallelized,30,2
10,Karatsuba Parallelized,30,4
50,Simple Sequential,-,1
50,Karatsuba Sequential,-,5
50,Simple Parallelized,1,1
50,Karatsuba Parallelized,1,17
50,Simple Parallelized,2,1
50,Karatsuba Parallelized,2,14
50,Simple Parallelized,3,0
50,Karatsuba Parallelized,3,25
50,Simple Parallelized,4,1
50,Karatsuba Parallelized,4,21
50,Simple Parallelized,5,0
50,Karatsuba Parallelized,5,21
50,Simple Parallelized,10,1
50,Karatsuba Parallelized,10,21
50,Simple Parallelized,15,2
50,Karatsuba Parallelized,15,20
50,Simple Parallelized,30,2
50,Karatsuba Parallelized,30,25
100,Simple Sequential,-,0
100,Karatsuba Sequential,-,3
100,Simple Parallelized,1,1
100,Karatsuba Parallelized,1,19
100,Simple Parallelized,2,2
100,Karatsuba Parallelized,2,15
100,Simple Parallelized,3,2
100,Karatsuba Parallelized,3,22
100,Simple Parallelized,4,2
100,Karatsuba Parallelized,4,20
100,Simple Parallelized,5,2
100,Karatsuba Parallelized,5,21
100,Simple Parallelized,10,2
100,Karatsuba Parallelized,10,20
100,Simple Parallelized,15,2
100,Karatsuba Parallelized,15,20
100,Simple Parallelized,30,2
100,Karatsuba Parallelized,30,24
500,Simple Sequential,-,3
500,Karatsuba Sequential,-,16
500,Simple Parallelized,1,5
500,Karatsuba Parallelized,1,24
500,Simple Parallelized,2,8
500,Karatsuba Parallelized,2,17
500,Simple Parallelized,3,4
500,Karatsuba Parallelized,3,27
500,Simple Parallelized,4,2
500,Karatsuba Parallelized,4,25
500,Simple Parallelized,5,2
500,Karatsuba Parallelized,5,22
500,Simple Parallelized,10,1
500,Karatsuba Parallelized,10,22
500,Simple Parallelized,15,2
500,Karatsuba Parallelized,15,21
500,Simple Parallelized,30,3
500,Karatsuba Parallelized,30,23
1000,Simple Sequential,-,13
1000,Karatsuba Sequential,-,27
1000,Simple Parallelized,1,14
1000,Karatsuba Parallelized,1,43
1000,Simple Parallelized,2,9
1000,Karatsuba Parallelized,2,18
1000,Simple Parallelized,3,8
1000,Karatsuba Parallelized,3,24
1000,Simple Parallelized,4,6
1000,Karatsuba Parallelized,4,26
1000,Simple Parallelized,5,7
1000,Karatsuba Parallelized,5,31
1000,Simple Parallelized,10,3
1000,Karatsuba Parallelized,10,28
1000,Simple Parallelized,15,5
1000,Karatsuba Parallelized,15,24
1000,Simple Parallelized,30,5
1000,Karatsuba Parallelized,30,23
2500,Simple Sequential,-,79
2500,Karatsuba Sequential,-,85
2500,Simple Parallelized,1,79
2500,Karatsuba Parallelized,1,98
2500,Simple Parallelized,2,43
2500,Karatsuba Parallelized,2,25
2500,Simple Parallelized,3,37
2500,Karatsuba Parallelized,3,32
2500,Simple Parallelized,4,27
2500,Karatsuba Parallelized,4,31
2500,Simple Parallelized,5,23
2500,Karatsuba Parallelized,5,26
2500,Simple Parallelized,10,18
2500,Karatsuba Parallelized,10,26
2500,Simple Parallelized,15,15
2500,Karatsuba Parallelized,15,52
2500,Simple Parallelized,30,15
2500,Karatsuba Parallelized,30,26
5000,Simple Sequential,-,249
5000,Karatsuba Sequential,-,213
5000,Simple Parallelized,1,291
5000,Karatsuba Parallelized,1,222
5000,Simple Parallelized,2,162
5000,Karatsuba Parallelized,2,60
5000,Simple Parallelized,3,151
5000,Karatsuba Parallelized,3,58
5000,Simple Parallelized,4,104
5000,Karatsuba Parallelized,4,58
5000,Simple Parallelized,5,97
5000,Karatsuba Parallelized,5,62
5000,Simple Parallelized,10,59
5000,Karatsuba Parallelized,10,62
5000,Simple Parallelized,15,64
5000,Karatsuba Parallelized,15,57
5000,Simple Parallelized,30,55
5000,Karatsuba Parallelized,30,61
10000,Simple Sequential,-,958
10000,Karatsuba Sequential,-,630
10000,Simple Parallelized,1,1135
10000,Karatsuba Parallelized,1,621
10000,Simple Parallelized,2,640
10000,Karatsuba Parallelized,2,161
10000,Simple Parallelized,3,574
10000,Karatsuba Parallelized,3,162
10000,Simple Parallelized,4,417
10000,Karatsuba Parallelized,4,158
10000,Simple Parallelized,5,388
10000,Karatsuba Parallelized,5,156
10000,Simple Parallelized,10,247
10000,Karatsuba Parallelized,10,158
10000,Simple Parallelized,15,229
10000,Karatsuba Parallelized,15,154
10000,Simple Parallelized,30,216
10000,Karatsuba Parallelized,30,170
